mep_id,meeting_id,topic,time,location,committee,rapporteur,lobbyist
124726,110,Roundtable discussion on artificial intelligence,02-06-2020,Online,ITRE,Shadow rapporteur - ITRE INI on Ensuring European leadership in the digital age and an EU approach to Artificial Intelligence,University of Helsinki
124726,111,Roundtable discussion on artificial intelligence,02-06-2020,Online,ITRE,Shadow rapporteur - ITRE INI on Ensuring European leadership in the digital age and an EU approach to Artificial Intelligence,VTT
124726,111,Roundtable discussion on artificial intelligence,02-06-2020,Online,ITRE,Shadow rapporteur - ITRE INI on Ensuring European leadership in the digital age and an EU approach to Artificial Intelligence,Aalto University
124726,112,Roundtable discussion on artificial Intelligence,28-05-2020,Online,TRAN,Shadow rapporteur - Artificial intelligence: questions of interpretation and application of international law in so far as the EU is affected in the areas of civil and military uses and of state authority outside the scope of criminal justice 2020/2013 (INI),WMCES
124726,112,Roundtable discussion on artificial Intelligence,28-05-2020,Online,TRAN,Shadow rapporteur - Artificial intelligence: questions of interpretation and application of international law in so far as the EU is affected in the areas of civil and military uses and of state authority outside the scope of criminal justice 2020/2013 (INI),University of Jyväskylä
124726,112,Roundtable discussion on artificial Intelligence,28-05-2020,Online,TRAN,Shadow rapporteur - Artificial intelligence: questions of interpretation and application of international law in so far as the EU is affected in the areas of civil and military uses and of state authority outside the scope of criminal justice 2020/2013 (INI),The Ministery of Defence of Finland
124726,113,Roundtable talk on the energy sector,13-05-2020,Online,,Member,GasGrid
124726,114,Roundtable discussion on artificial intelligence,06-05-2020,Online,ITRE,Shadow rapporteur - ITRE INI on Ensuring European leadership in the digital age and an EU approach to Artificial Intelligence,Sitra
124726,114,Roundtable discussion on artificial intelligence,06-05-2020,Online,ITRE,Shadow rapporteur - ITRE INI on Ensuring European leadership in the digital age and an EU approach to Artificial Intelligence,University of Helsinki
124726,115,E-meeting on current EU affairs and the Green Deal,29-04-2020,Online,,Member,UPM
124726,116,E-meeting on EU education policy,20-04-2020,Online,,Member,SAMOK ry
124726,117,Meeting on digital policy,03-03-2020,Brussels,,Member,The Federation of Finnish Technology Industries (Teknologiateollisuus)
124726,118,Meeting on mobility and transport,03-03-2020,Brussels,,Member,Ministry of Transport and Communications in Finland (Liikenne- ja viestintäministeriö)
124726,118,Meeting on mobility and transport,03-03-2020,Brussels,,Member,Permanent Representation of Finland to the EU (Suomen pysyvä edustusto Euroopan unionissa)
124726,119,Meeting on mobility policy,03-03-2020,Brussels,,Member,Swedish Taxi Association
124726,120,Discussion on circular economy,26-02-2020,Helsinki,,Member,Sitra
124726,120,Discussion on circular economy,26-02-2020,Helsinki,,Member,Touchpoint
124726,120,Discussion on circular economy,26-02-2020,Helsinki,,Member,SOK
124726,121,Lunch debate on forest strategy,20-02-2020,"EP, Brussels",,Member,MetsÃ¤verkosto
124726,122,Lunch with Tampere and Pirkanmaa regional office,19-02-2020,Brussels,,Member,Tampere and Pirkanmaa regional office
124726,123,Meeting on digitalisation and copyrights,19-02-2020,"EP, Brussels",,Member,Digitaleurope
124726,124,Meeting on EU's digital agenda,19-02-2020,"EP, Brussels",,Member,GSMA
124726,125,Meeting on the Digital Service Act and current EU affairs,18-02-2020,"EP, Brussels",,Member,Finnish Commerce Federation (Kaupan liitto)
124726,125,Meeting on the Digital Service Act and current EU affairs,18-02-2020,"EP, Brussels",,Member,Finnish customer association (Kuluttajaliitto)
124726,126,Meeting on sustainable construction,12-02-2020,"EP, Strasbourg",,Member,Saint-Gobain
124726,127,Meeting on current EU affairs,11-02-2020,"EP, Strasbourg",,Member,Ambassador of Norway to the EU
124726,128,Meeting on sustainability and the Green Deal,11-02-2020,"EP, Strasbourg",,Member,Hydro
124726,129,Visit to Hybrid CoE,07-02-2020,"Hybrid CoE, Helsinki",,Member,Hybrid CoE
124726,130,Meeting on current EU affairs,05-02-2020,"EP, Brussels",,Member,Norwegian Members of Parliament from Høyre
124726,131,Visit to OLAF,05-02-2020,"OLAF, Brussels",,Member,OLAF
124726,132,Current EU affairs,04-02-2020,"EP, Brussels",,Member,University of Oulu researchers
124726,133,Meeting on artificial intelligence,04-02-2020,"EP, Brussels",,Member,University of Helsinki researchers
124726,134,Meeting on chemical industry and the Green Deal,04-02-2020,"EP, Brussels",,Member,Finnish chemical industry (Kemianteollisuus)
124726,135,Meeting on digitalisation and data,04-02-2020,"EP, Brussels",,Member,Sitra
124726,136,Meeting on energy sector and the Green Deal,30-01-2020,"EP, Brussels",,Member,Finnish Energy (Energiateollisuus)
124726,137,Meeting on technology industry and the Green Deal,30-01-2020,"EP, Brussels",,Member,Finnish technology industry (Teknologiateollisuus)
124726,138,Meeting on the Forum for Mobility and Society,29-01-2020,"EP, Brussels",,Member,FIA
124726,139,Meeting on SME Strategy,23-01-2020,Brussels,,Member,Federation of Finnish Enterprises (Suomen Yrittäjät)
124726,140,Breakfast debate on circular economy,22-01-2020,"EP, Brussels",,Member,Confederation of Danish industry
124726,140,Breakfast debate on circular economy,22-01-2020,"EP, Brussels",,Member,Confederation of Norwegian Enterprice
124726,140,Breakfast debate on circular economy,22-01-2020,"EP, Brussels",,Member,Svenskt Näringsliv
124726,140,Breakfast debate on circular economy,22-01-2020,"EP, Brussels",,Member,Elinkeinoelämän keskusliitto EK
124726,141,Meeting on Horizon Europe and Brexit,22-01-2020,"EP, Brussels",,Member,Universities UK International
124726,142,Meeting on chemical industry and the Green Deal,15-01-2020,"EP, Strasbourg",,Member,Cefic
124726,142,Meeting on chemical industry and the Green Deal,15-01-2020,"EP, Strasbourg",,Member,BASF
124726,143,Meeting on European industries and the Green Deal,15-01-2020,"EP, Strasbourg",,Member,Eurometaux
124726,144,"Meeting on climate, circular economy and digitization",14-01-2020,"EP, Strasbourg",,Member,Cobalt Institute
124726,145,Meeting on european energy and the Green Deal,14-01-2020,"EP, Strasbourg",,Member,Eurelectric
124726,146,Discussion event on SME Strategy,09-01-2020,Helsinki,,Member,Federation of Finnish Enterprises (Suomen Yrittäjät)
124726,147,Green Deal innovations and technologies,08-01-2020,"EP, Brussels",,Member,BASF
124726,148,Current EU affairs,18-12-2019,"EP, Strasbourg",,Member,Elinkeinoelämän keskusliitto EK
124726,149,Current EU affairs,16-12-2019,Strasbourg,,Member,Kansallinen sivistysliitto
124726,150,Connecting Europe Facilities,10-12-2019,"EP, Brussels",,Member,CSC IT
124726,151,Horizon Europe,04-12-2019,"EP, Brussels",,Member,University of Eastern Finland
124726,152,Mobility Package,03-12-2019,"EP, Brussels",TRAN,Rapporteur - Mobility Package,DG MOVE
124726,153,Current affairs in food industry,14-11-2019,"EP, Brussels",,Member,Elintarviketeollisuusliitto
124726,154,Mobility package,14-11-2019,"EP, Brussels",TRAN,Rapporteur - Mobility package,Estonian permanent representation
124726,155,Digital policy,13-11-2019,"EP, Brussels",,Member,Elisa
124726,156,EP's work in sectors of energy and circular economy,13-11-2019,"EP, Brussels",,Member,Gasum
124726,157,Digitalization of transport,06-11-2019,"EP, Brussels",,Member,MaaS
124726,158,Education policy,06-11-2019,Brussels,,Member,OAJ
